  HR|  constell|RAh|RAm| RAs|DE-|DEd|DEm|DEs| Vmag|  Sp|       vernacular|
5460|   Alp2Cen| 14| 39|36.1|  -| 60| 50| 08| 1.33|  K1|          Toliman|
5463|   Alp Cir| 14| 42|30.4|  -| 64| 58| 31| 3.19|  Ap|                 |
5469|   Alp Lup| 14| 41|55.8|  -| 47| 23| 18| 2.30|  B1|                 |
5470|   Alp Aps| 14| 47|51.6|  -| 79| 02| 41| 3.83|  K3|                 |
5471|          | 14| 41|57.6|  -| 37| 47| 37| 4.00|  B3|                 |
5475| 29Pi 1Boo| 14| 40|43.6|  +| 16| 25| 06| 4.94|  B9|                 |
5477| 30Zet Boo| 14| 41|08.9|  +| 13| 43| 42| 4.83|  A2|                 |
5478| 30Zet Boo| 14| 41|08.9|  +| 13| 43| 42| 4.43|  A2|                 |
5480| 31    Boo| 14| 41|38.8|  +| 08| 09| 42| 4.86|  G7|                 |
5485|          | 14| 43|39.4|  -| 35| 10| 25| 4.05|  K3|                 |
5487|107Mu  Vir| 14| 43|03.6|  -| 05| 39| 30| 3.88|  F2|                 |
5489|          | 14| 44|59.2|  -| 35| 11| 31| 4.92|  A0|                 |
5490| 34    Boo| 14| 43|25.4|  +| 26| 31| 40| 4.81|  M3|                 |
5497| 54    Hya| 14| 46|00.1|  -| 25| 26| 35| 4.94|  F2|                 |
5502| 35Omi Boo| 14| 45|14.5|  +| 16| 57| 52| 4.60|  G8|                 |
5506| 36Eps Boo| 14| 44|59.2|  +| 27| 04| 27| 2.70|  K0|             Izar|
5511|109    Vir| 14| 46|14.9|  +| 01| 53| 34| 3.72|  A0|                 |
5526| 58    Hya| 14| 50|17.3|  -| 27| 57| 37| 4.41|  K4|                 |
5528|   Omi Lup| 14| 51|38.4|  -| 43| 34| 32| 4.32|  B5|                 |
5531|  9Alp2Lib| 14| 50|52.7|  -| 16| 02| 30| 2.75|  A3|    Zubenelgenubi|
5535| 11    Lib| 14| 51|01.0|  -| 02| 17| 57| 4.94|  G8|                 |
5544| 37Xi  Boo| 14| 51|23.3|  +| 19| 06| 04| 4.55|  G8|                 |
5563|  7Bet UMi| 14| 50|42.3|  +| 74| 09| 20| 2.08|  K4|           Kochab|
5570| 16    Lib| 14| 57|11.0|  -| 04| 20| 47| 4.49|  F0|                 |
5571|   Bet Lup| 14| 58|31.9|  -| 43| 08| 02| 2.68|  B2|                 |
5576|   Kap Cen| 14| 59|09.7|  -| 42| 06| 15| 3.13|  B2|                 |
5586| 19Del Lib| 15| 00|58.4|  -| 08| 31| 08| 4.92|  B9|                 |
5589|          | 14| 57|35.0|  +| 65| 55| 57| 4.60|  M4|                 |
5600| 41Ome Boo| 15| 02|06.5|  +| 25| 00| 29| 4.81|  K4|                 |
5601|110    Vir| 15| 02|54.0|  +| 02| 05| 29| 4.40|  K0|                 |
5602| 42Bet Boo| 15| 01|56.8|  +| 40| 23| 26| 3.50|  G8|           Nekkar|
5603| 20Sig Lib| 15| 04|04.2|  -| 25| 16| 55| 3.29|  M3|         Brachium|
5605|   Pi  Lup| 15| 05|07.2|  -| 47| 03| 04| 4.72|  B5|                 |
5606|   Pi  Lup| 15| 05|07.2|  -| 47| 03| 04| 4.82|  B5|                 |
5616| 43Psi Boo| 15| 04|26.7|  +| 26| 56| 51| 4.54|  K2|                 |
5618| 44    Boo| 15| 03|47.4|  +| 47| 39| 16| 4.76|  F9|                 |
5626|   Lam Lup| 15| 08|50.6|  -| 45| 16| 47| 4.05|  B3|                 |
5634| 45    Boo| 15| 07|18.1|  +| 24| 52| 09| 4.93|  F5|                 |
5646|   Kap1Lup| 15| 11|56.1|  -| 48| 44| 16| 3.87|  B9|                 |
5649|   Zet Lup| 15| 12|17.1|  -| 52| 05| 57| 3.41|  G8|                 |
5651|          | 15| 12|49.5|  -| 44| 30| 02| 4.82|  B3|                 |
5652| 24Iot1Lib| 15| 12|13.3|  -| 19| 47| 30| 4.54|  A0|                 |
5660|  1    Lup| 15| 14|37.3|  -| 31| 31| 09| 4.91|  F1|                 |
5666|   Eps Cir| 15| 17|38.9|  -| 63| 36| 38| 4.86|  K2|                 |
5670|   Bet Cir| 15| 17|30.8|  -| 58| 48| 04| 4.07|  A3|                 |
5671|   Gam TrA| 15| 18|54.6|  -| 68| 40| 46| 2.89|  A1|                 |
5681| 49Del Boo| 15| 15|30.2|  +| 33| 18| 53| 3.47|  G8|                 |
5683|   Mu  Lup| 15| 18|32.0|  -| 47| 52| 30| 4.27|  B8|                 |
5685| 27Bet Lib| 15| 17|00.4|  -| 09| 22| 59| 2.61|  B8|   Zubeneschamali|
5686|  2    Lup| 15| 17|49.9|  -| 30| 08| 56| 4.34|  G9|                 |
5695|   Del Lup| 15| 21|22.3|  -| 40| 38| 51| 3.22|  B1|                 |
5698|   Nu 1Lup| 15| 22|08.3|  -| 47| 55| 40| 5.00|  F8|                 |
5704|   Gam Cir| 15| 23|22.7|  -| 59| 19| 15| 4.51|  B5|                 |
5705|   Phi1Lup| 15| 21|48.4|  -| 36| 15| 41| 3.56|  K5|                 |
5708|   Eps Lup| 15| 22|40.9|  -| 44| 41| 22| 3.37|  B2|                 |
5712|   Phi2Lup| 15| 23|09.4|  -| 36| 51| 31| 4.54|  B4|                 |
5723| 31Eps Lib| 15| 24|11.9|  -| 10| 19| 20| 4.94|  F5|                 |
5724|          | 15| 25|20.2|  -| 38| 44| 01| 4.60|  A0|                 |
5733| 51Mu 1Boo| 15| 24|29.4|  +| 37| 22| 38| 4.31|  F2|       Alkalurops|
5735| 13Gam UMi| 15| 20|43.7|  +| 71| 50| 02| 3.05|  A3|          Pherkad|
5744| 12Iot Dra| 15| 24|55.8|  +| 58| 57| 58| 3.29|  K2|          Edasich|
5747|  3Bet CrB| 15| 27|49.7|  +| 29| 06| 21| 3.68|  F0|          Nusakan|
5771|   Eps TrA| 15| 36|43.2|  -| 66| 19| 01| 4.11|  K1|                 |
5776|   Gam Lup| 15| 35|08.5|  -| 41| 10| 01| 2.78|  B2|                 |
5777| 37    Lib| 15| 34|10.7|  -| 10| 03| 52| 4.62|  K1|                 |
5778|  4The CrB| 15| 32|55.8|  +| 31| 21| 33| 4.14|  B6|                 |
5781|          | 15| 35|53.2|  -| 44| 57| 31| 4.54|  B3|                 |
5787| 38Gam Lib| 15| 35|31.6|  -| 14| 47| 22| 3.91|  G8|   Zubenelhakrabi|
5788| 13Del Ser| 15| 34|48.1|  +| 10| 32| 15| 3.80|  F0|                 |
5789| 13Del Ser| 15| 34|48.1|  +| 10| 32| 21| 3.80|  F0|                 |
5793|  5Alp CrB| 15| 34|41.3|  +| 26| 42| 53| 2.23|  A0|         Alphecca|
5794| 39Ups Lib| 15| 37|01.5|  -| 28| 08| 06| 3.58|  K3|                 |
5797|   Ome Lup| 15| 38|03.2|  -| 42| 34| 03| 4.33|  K4|                 |
5812| 40Tau Lib| 15| 38|39.4|  -| 29| 46| 40| 3.66|  B2|                 |
5820|  3Psi1Lup| 15| 39|46.0|  -| 34| 24| 43| 4.67|  G8|                 |
5824| 42    Lib| 15| 40|16.9|  -| 23| 49| 05| 4.96|  K3|                 |
5825|          | 15| 41|11.3|  -| 44| 39| 40| 4.64|  F5|                 |
5826| 15The UMi| 15| 31|24.9|  +| 77| 20| 58| 4.96|  K5|                 |
5838| 43Kap Lib| 15| 41|56.8|  -| 19| 40| 44| 4.74|  M0|                 |
5839|  4Psi2Lup| 15| 42|41.0|  -| 34| 42| 38| 4.75|  B5|                 |
5842| 21Iot Ser| 15| 41|33.1|  +| 19| 40| 13| 4.52|  A1|                 |
5849|  8Gam CrB| 15| 42|44.6|  +| 26| 17| 44| 3.84|  B9|                 |
5854| 24Alp Ser| 15| 44|16.1|  +| 06| 25| 32| 2.65|  K2|        Unukalhai|
5867| 28Bet Ser| 15| 46|11.3|  +| 15| 25| 19| 3.67|  A2|                 |
5868| 27Lam Ser| 15| 46|26.6|  +| 07| 21| 11| 4.43|  G0|                 |
5879| 35Kap Ser| 15| 48|44.4|  +| 18| 08| 30| 4.09|  M0|            Gudja|
5881| 32Mu  Ser| 15| 49|37.2|  -| 03| 25| 49| 3.53|  A0|                 |
5883|  5Chi Lup| 15| 50|57.5|  -| 33| 37| 38| 3.95|  B9|                 |
5885|  1    Sco| 15| 50|58.7|  -| 25| 45| 05| 4.64|  B3|                 |
5889| 10Del CrB| 15| 49|35.7|  +| 26| 04| 06| 4.63|  G3|                 |
5892| 37Eps Ser| 15| 50|49.0|  +| 04| 28| 40| 3.71|  A2|                 |
5897|   Bet TrA| 15| 55|08.5|  -| 63| 25| 50| 2.85|  F2|                 |
5899| 38Rho Ser| 15| 51|15.9|  +| 20| 58| 40| 4.76|  K5|                 |
5901| 11Kap CrB| 15| 51|13.9|  +| 35| 39| 27| 4.82|  K1|                 |
5903| 16Zet UMi| 15| 44|03.5|  +| 77| 47| 40| 4.32|  A3|                 |
5904|  2    Sco| 15| 53|36.7|  -| 25| 19| 38| 4.59|  B2|                 |
5908| 46The Lib| 15| 53|49.5|  -| 16| 43| 46| 4.15|  G8|                 |
5914|  1Chi Her| 15| 52|40.5|  +| 42| 27| 06| 4.62|  F8|                 |
5928|  5Rho Sco| 15| 56|53.1|  -| 29| 12| 51| 3.88|  B2|            Iklil|
5933| 41Gam Ser| 15| 56|27.2|  +| 15| 39| 42| 3.85|  F6|                 |
5941| 48    Lib| 15| 58|11.4|  -| 14| 16| 46| 4.88|  B5|                 |
5943|          | 15| 59|30.3|  -| 41| 44| 40| 4.99|  K0|                 |
5944|  6Pi  Sco| 15| 58|51.1|  -| 26| 06| 51| 2.89|  B1|             Fang|
5947| 13Eps CrB| 15| 57|35.3|  +| 26| 52| 40| 4.15|  K2|                 |
5948|   Eta Lup| 16| 00|07.3|  -| 38| 23| 49| 3.41|  B2|                 |
5953|  7Del Sco| 16| 00|20.0|  -| 22| 37| 18| 2.32|  B0|         Dschubba|
5958|          | 15| 59|30.2|  +| 25| 55| 13| 2.0 |sdBe|                 |
5960|          | 15| 57|47.4|  +| 54| 44| 59| 4.95|  F0|                 |
5961|   Iot1Nor| 16| 03|31.9|  -| 57| 46| 31| 4.63|  A7|                 |
5962|   Eta Nor| 16| 03|12.9|  -| 49| 13| 47| 4.65|  G8|                 |
5967|          | 16| 03|24.2|  -| 38| 36| 09| 4.89|  B6|                 |
5969|          | 16| 03|20.6|  -| 25| 51| 55| 5.00|  K5|                 |
5971| 14Iot CrB| 16| 01|26.6|  +| 29| 51| 04| 4.99|  A0|                 |
5972| 44Pi  Ser| 16| 02|17.7|  +| 22| 48| 16| 4.83|  A3|                 |
5978|   Xi  Sco| 16| 04|22.1|  -| 11| 22| 23| 4.77|  F5|                 |
5980|   Del Nor| 16| 06|29.4|  -| 45| 10| 24| 4.72|  Am|                 |
5982|  6Ups Her| 16| 02|47.9|  +| 46| 02| 12| 4.76|  B9|                 |
5984|  8Bet1Sco| 16| 05|26.2|  -| 19| 48| 20| 2.62|  B1|            Acrab|
5985|  8Bet2Sco| 16| 05|26.5|  -| 19| 48| 07| 4.92|  B2|                 |
5986| 13The Dra| 16| 01|53.3|  +| 58| 33| 55| 4.01|  F8|                 |
5987|   The Lup| 16| 06|35.5|  -| 36| 48| 08| 4.23|  B2|                 |
5993|  9Ome1Sco| 16| 06|48.4|  -| 20| 40| 09| 3.96|  B1|                 |
5997| 10Ome2Sco| 16| 07|24.3|  -| 20| 52| 07| 4.32|  G3|                 |
6008|  7Kap Her| 16| 08|04.5|  +| 17| 02| 49| 5.00|  G8|           Marsic|
6018| 16Tau CrB| 16| 08|58.3|  +| 36| 29| 27| 4.76|  K1|                 |
6020|   Del1Aps| 16| 20|20.8|  -| 78| 41| 45| 4.68|  M5|                 |
6023| 11Phi Her| 16| 08|46.2|  +| 44| 56| 06| 4.26|  B9|                 |
6024|   Kap Nor| 16| 13|28.7|  -| 54| 37| 50| 4.94|  G8|                 |
6027| 14Nu  Sco| 16| 11|59.7|  -| 19| 27| 38| 4.01|  B3|           Jabbah|
6028| 13    Sco| 16| 12|18.2|  -| 27| 55| 35| 4.59|  B2|                 |
6030|   Del TrA| 16| 15|26.3|  -| 63| 41| 08| 3.85|  G2|                 |
6031| 15Psi Sco| 16| 12|00.0|  -| 10| 03| 51| 4.94|  A3|                 |
6056|  1Del Oph| 16| 14|20.7|  -| 03| 41| 40| 2.74|  M0|        Yed_Prior|
6058|   Gam1Nor| 16| 17|00.9|  -| 50| 04| 06| 4.99|  F9|                 |
6070|          | 16| 18|17.9|  -| 28| 36| 50| 4.78|  A0|                 |
6072|   Gam2Nor| 16| 19|50.4|  -| 50| 09| 20| 4.02|  G8|                 |
6075|  2Eps Oph| 16| 18|19.3|  -| 04| 41| 33| 3.24|  G9|    Yed_Posterior|
6081| 19Omi Sco| 16| 20|38.2|  -| 24| 10| 10| 4.55|  A5|                 |
6084| 20Sig Sco| 16| 21|11.3|  -| 25| 35| 34| 2.89|  B1|          Alniyat|
6092| 22Tau Her| 16| 19|44.4|  +| 46| 18| 48| 3.89|  B5|                 |
6093| 50Sig Ser| 16| 22|04.4|  +| 01| 01| 45| 4.82|  F0|                 |
6095| 20Gam Her| 16| 21|55.2|  +| 19| 09| 11| 3.75|  A9|                 |
6098|   Zet TrA| 16| 28|28.1|  -| 70| 05| 04| 4.91|  F9|                 |
6102|   Gam Aps| 16| 33|27.0|  -| 78| 53| 50| 3.89|  G8|                 |
6103| 19Xi  CrB| 16| 22|05.8|  +| 30| 53| 31| 4.85|  K0|                 |
6104|  4Psi Oph| 16| 24|06.2|  -| 20| 02| 15| 4.50|  K0|                 |
6115|   Eps Nor| 16| 27|11.1|  -| 47| 33| 18| 4.47|  B4|                 |
6116| 21Eta UMi| 16| 17|30.3|  +| 75| 45| 19| 4.95|  F5|                 |
6117| 24Ome Her| 16| 25|25.0|  +| 14| 02| 00| 4.57|  B9|            Cujam|
6118|  7Chi Oph| 16| 27|01.4|  -| 18| 27| 23| 4.42|  B2|                 |
6129|  3Ups Oph| 16| 27|48.1|  -| 08| 22| 18| 4.63|  A3|                 |
6132| 14Eta Dra| 16| 23|59.5|  +| 61| 30| 51| 2.74|  G8|         Athebyne|
6134| 21Alp Sco| 16| 29|24.4|  -| 26| 25| 55| 0.96|  M1|          Antares|
6141| 22    Sco| 16| 30|12.4|  -| 25| 06| 54| 4.79|  B2|                 |
6143|          | 16| 31|22.9|  -| 34| 42| 16| 4.23|  B2|                 |
6147|  8Phi Oph| 16| 31|08.3|  -| 16| 36| 46| 4.28|  G8|                 |
6148| 27Bet Her| 16| 30|13.2|  +| 21| 29| 23| 2.77|  G7|      Kornephoros|
6149| 10Lam Oph| 16| 30|54.8|  +| 01| 59| 02| 3.82|  A0|           Marfik|
6153|  9Ome Oph| 16| 32|08.2|  -| 21| 27| 59| 4.45|  A7|                 |
6155|   Mu  Nor| 16| 34|05.0|  -| 44| 02| 43| 4.94|  B0|                 |
6159| 29    Her| 16| 32|36.3|  +| 11| 29| 17| 4.84|  K7|                 |
6161| 15    Dra| 16| 27|59.0|  +| 68| 46| 05| 5.00|  A0|                 |
6163|   Bet Aps| 16| 43|04.6|  -| 77| 31| 03| 4.24|  K0|                 |
6165| 23Tau Sco| 16| 35|53.0|  -| 28| 12| 58| 2.82|  B0|       Paikauhale|
6166|          | 16| 36|22.5|  -| 35| 15| 20| 4.16|  K6|                 |
6168| 35Sig Her| 16| 34|06.2|  +| 42| 26| 13| 4.20|  B9|                 |
6175| 13Zet Oph| 16| 37|09.5|  -| 10| 34| 02| 2.56|  O9|                 |
6196|          | 16| 41|34.4|  -| 17| 44| 32| 4.96|  G7|                 |
6200| 42    Her| 16| 38|44.9|  +| 48| 55| 42| 4.90|  M2|                 |
6212| 40Zet Her| 16| 41|17.2|  +| 31| 36| 11| 2.81|  G0|                 |
6217|   Alp TrA| 16| 48|39.9|  -| 69| 01| 40| 1.92|  K2|            Atria|
6220| 44Eta Her| 16| 42|53.8|  +| 38| 55| 20| 3.53|  G7|                 |
6223| 18    Dra| 16| 40|55.1|  +| 64| 35| 21| 4.83|  K0|                 |
6229|   Eta Ara| 16| 49|47.1|  -| 59| 02| 29| 3.76|  K5|                 |
6237|          | 16| 45|17.8|  +| 56| 46| 55| 4.85|  F2|                 |
6241| 26Eps Sco| 16| 50|09.8|  -| 34| 17| 36| 2.29|  K2|          Larawag|
6243| 20    Oph| 16| 49|50.0|  -| 10| 46| 59| 4.65|  F7|                 |
6247|   Mu 1Sco| 16| 51|52.2|  -| 38| 02| 51| 3.08|  B1|       Xamidimura|
6252|   Mu 2Sco| 16| 52|20.1|  -| 38| 01| 03| 3.57|  B2|         Pipirima|
6254| 52    Her| 16| 49|14.2|  +| 45| 59| 00| 4.82|  A2|                 |
6262|   Zet1Sco| 16| 53|59.7|  -| 42| 21| 44| 4.73|  B1|                 |
6271|   Zet2Sco| 16| 54|35.0|  -| 42| 21| 41| 3.62|  K4|                 |
6281| 25Iot Oph| 16| 54|00.5|  +| 10| 09| 55| 4.38|  B8|                 |
6285|   Zet Ara| 16| 58|37.2|  -| 55| 59| 25| 3.13|  K3|                 |
6295|   Eps1Ara| 16| 59|35.1|  -| 53| 09| 38| 4.06|  K4|                 |
6299| 27Kap Oph| 16| 57|40.1|  +| 09| 22| 30| 3.20|  K2|                 |
6315| 19    Dra| 16| 56|01.7|  +| 65| 08| 05| 4.89|  F6|                 |
6318| 30    Oph| 17| 01|03.6|  -| 04| 13| 21| 4.82|  K4|                 |
6322| 22Eps UMi| 16| 45|58.1|  +| 82| 02| 14| 4.23|  G5|                 |
6324| 58Eps Her| 17| 00|17.4|  +| 30| 55| 35| 3.92|  A0|                 |
6334|          | 17| 04|49.4|  -| 34| 07| 22| 4.87|  B1|                 |
6337|          | 17| 03|07.8|  +| 14| 05| 31| 4.98|  M3|                 |
6355| 60    Her| 17| 05|22.7|  +| 12| 44| 27| 4.91|  A4|                 |
6378| 35Eta Oph| 17| 10|22.7|  -| 15| 43| 29| 2.43|  A2|            Sabik|
6380|   Eta Sco| 17| 12|09.2|  -| 43| 14| 21| 3.33|  F3|                 |
6396| 22Zet Dra| 17| 08|47.2|  +| 65| 42| 53| 3.17|  B6|         Aldhibah|
6406| 64Alp1Her| 17| 14|38.9|  +| 14| 23| 25| 3.48|  M5|       Rasalgethi|
6410| 65Del Her| 17| 15|01.9|  +| 24| 50| 21| 3.14|  A3|            Sarin|
6415| 41    Oph| 17| 16|36.7|  -| 00| 26| 43| 4.73|  K2|                 |
6417|   Zet Aps| 17| 21|59.4|  -| 67| 46| 14| 4.78|  K2|                 |
6418| 67Pi  Her| 17| 15|02.8|  +| 36| 48| 33| 3.16|  K3|                 |
6431| 68    Her| 17| 17|19.5|  +| 33| 06| 00| 4.82|  B1|                 |
6436| 69    Her| 17| 17|40.3|  +| 37| 17| 30| 4.65|  A2|                 |
6445| 40Xi  Oph| 17| 21|00.2|  -| 21| 06| 46| 4.39|  F1|                 |
6446| 53Nu  Ser| 17| 20|49.7|  -| 12| 50| 49| 4.33|  A2|                 |
6452|          | 17| 20|18.9|  +| 18| 03| 26| 5.00|  M2|                 |
6453| 42The Oph| 17| 22|00.6|  -| 24| 59| 58| 3.27|  B2|                 |
6461|   Bet Ara| 17| 25|18.0|  -| 55| 31| 48| 2.85|  K3|                 |
6462|   Gam Ara| 17| 25|23.6|  -| 56| 22| 39| 3.34|  B1|                 |
6485| 75Rho Her| 17| 23|41.0|  +| 37| 08| 45| 4.52|  B9|                 |
6486| 44    Oph| 17| 26|22.2|  -| 24| 10| 31| 4.17|  A3|                 |
6492| 45    Oph| 17| 27|21.3|  -| 29| 52| 01| 4.29|  F5|                 |
6493|          | 17| 26|37.9|  -| 05| 05| 12| 4.54|  F3|                 |
6498| 49Sig Oph| 17| 26|30.9|  +| 04| 08| 25| 4.34|  K2|                 |
6500|   Del Ara| 17| 31|05.9|  -| 60| 41| 02| 3.62|  B8|                 |
6508| 34Ups Sco| 17| 30|45.8|  -| 37| 17| 45| 2.69|  B2|           Lesath|
6510|   Alp Ara| 17| 31|50.5|  -| 49| 52| 34| 2.95|  B2|                 |
6519| 51    Oph| 17| 31|25.0|  -| 23| 57| 46| 4.81|  B9|                 |
6526| 76Lam Her| 17| 30|44.3|  +| 26| 06| 38| 4.41|  K3|           Maasym|
6527| 35Lam Sco| 17| 33|36.5|  -| 37| 06| 14| 1.63|  B2|           Shaula|
6536| 23Bet Dra| 17| 30|26.0|  +| 52| 18| 05| 2.79|  G2|         Rastaban|
6537|  1Sig Ara| 17| 35|39.6|  -| 46| 30| 20| 4.59|  A0|                 |
6546|          | 17| 36|32.8|  -| 38| 38| 07| 4.29|  K0|                 |
6553|   The Sco| 17| 37|19.2|  -| 42| 59| 52| 1.87|  F1|           Sargas|
6554| 24Nu 1Dra| 17| 32|10.6|  +| 55| 11| 03| 4.88|  A6|                 |
6555| 25Nu 2Dra| 17| 32|16.0|  +| 55| 10| 23| 4.87|  A4|                 |
6556| 55Alp Oph| 17| 34|56.1|  +| 12| 33| 36| 2.08|  A5|       Rasalhague|
6561| 55Xi  Ser| 17| 37|35.2|  -| 15| 23| 55| 3.54|  F0|                 |
6567| 57Mu  Oph| 17| 37|50.7|  -| 08| 07| 08| 4.62|  B8|                 |
6569|   Lam Ara| 17| 40|23.6|  -| 49| 24| 56| 4.77|  F3|                 |
6580|   Kap Sco| 17| 42|29.3|  -| 39| 01| 48| 2.41|  B1|                 |
6581| 56Omi Ser| 17| 41|24.9|  -| 12| 52| 31| 4.26|  A2|                 |
6582|   Eta Pav| 17| 45|44.0|  -| 64| 43| 26| 3.62|  K2|                 |
6588| 85Iot Her| 17| 39|27.9|  +| 46| 00| 23| 3.80|  B3|                 |
6595| 58    Oph| 17| 43|25.8|  -| 21| 41| 00| 4.87|  F6|                 |
6596| 28Ome Dra| 17| 36|57.1|  +| 68| 45| 29| 4.80|  F5|                 |
6603| 60Bet Oph| 17| 43|28.4|  +| 04| 34| 02| 2.77|  K2|         Cebalrai|
6615|   Iot1Sco| 17| 47|35.1|  -| 40| 07| 37| 3.03|  F2|                 |
6616|  3    Sgr| 17| 47|33.6|  -| 27| 49| 51| 4.54|  F7|                 |
6623| 86Mu  Her| 17| 46|27.5|  +| 27| 43| 14| 3.42|  G5|                 |
6628|          | 17| 49|10.5|  -| 31| 42| 12| 4.83|  B8|                 |
6629| 62Gam Oph| 17| 47|53.6|  +| 02| 42| 26| 3.75|  A0|                 |
6630|          | 17| 49|51.5|  -| 37| 02| 36| 3.21|  K2|            Fuyue|
6631|   Iot2Sco| 17| 50|11.2|  -| 40| 05| 26| 4.81|  A2|                 |
6636| 31Psi1Dra| 17| 41|56.3|  +| 72| 08| 56| 4.58|  F5|           Dziban|
6675|          | 17| 56|47.4|  -| 44| 20| 32| 4.86|  K2|                 |
6682|          | 17| 57|47.7|  -| 41| 42| 58| 4.88|  M0|                 |
6688| 32Xi  Dra| 17| 53|31.7|  +| 56| 52| 22| 3.75|  K2|          Grumium|
6695| 91The Her| 17| 56|15.2|  +| 37| 15| 02| 3.86|  K1|                 |
6698| 64Nu  Oph| 17| 59|01.6|  -| 09| 46| 25| 3.34|  K0|                 |
6700|  4    Sgr| 17| 59|47.6|  -| 23| 48| 58| 4.76|  B9|                 |
6703| 92Xi  Her| 17| 57|45.9|  +| 29| 14| 52| 3.70|  G8|                 |
6705| 33Gam Dra| 17| 56|36.4|  +| 51| 29| 20| 2.23|  K5|          Eltanin|
6707| 94Nu  Her| 17| 58|30.2|  +| 30| 11| 22| 4.41|  F2|                 |
6710| 57Zet Ser| 18| 00|29.0|  -| 03| 41| 25| 4.62|  F2|                 |
6712| 66    Oph| 18| 00|15.8|  +| 04| 22| 07| 4.64|  B2|                 |
6713| 93    Her| 18| 00|03.4|  +| 16| 45| 03| 4.67|  K0|                 |
6714| 67    Oph| 18| 00|38.7|  +| 02| 55| 54| 3.97|  B5|                 |
6723| 68    Oph| 18| 01|45.2|  +| 01| 18| 19| 4.45|  A2|                 |
6730| 95    Her| 18| 01|30.4|  +| 21| 35| 44| 4.96|  A5|                 |
6742|   Gam1Sgr| 18| 05|01.3|  -| 29| 34| 48| 4.69|  F4|                 |
6743|   The Ara| 18| 06|37.9|  -| 50| 05| 30| 3.66|  B2|                 |
6745|   Pi  Pav| 18| 08|34.8|  -| 63| 40| 06| 4.35|  A7|                 |
6746| 10Gam2Sgr| 18| 05|48.5|  -| 30| 25| 27| 2.99|  K0|           Alnasl|
6752| 70    Oph| 18| 05|27.3|  +| 02| 29| 58| 4.03|  K0|                 |
6766|          | 18| 08|05.0|  -| 28| 27| 26| 4.57|  G7|                 |
6770| 71    Oph| 18| 07|18.4|  +| 08| 44| 02| 4.64|  G8|                 |
6771| 72    Oph| 18| 07|21.0|  +| 09| 33| 50| 3.73|  A4|                 |
6779|103Omi Her| 18| 07|32.6|  +| 28| 45| 45| 3.83|  B9|                 |
6783|   Eps Tel| 18| 11|13.8|  -| 45| 57| 16| 4.53|  K0|                 |
6787|102    Her| 18| 08|45.5|  +| 20| 48| 52| 4.36|  B2|                 |
6789| 23Del UMi| 17| 32|12.9|  +| 86| 35| 11| 4.36|  A1|           Yildun|
6791|          | 18| 07|28.8|  +| 43| 27| 42| 5.00|  G8|                 |
6801| 11    Sgr| 18| 11|43.4|  -| 23| 42| 04| 4.98|  K0|                 |
6812| 13Mu  Sgr| 18| 13|45.8|  -| 21| 03| 32| 3.86|  B8|            Polis|
6815|104    Her| 18| 11|54.2|  +| 31| 24| 19| 4.97|  M3|                 |
6832|   Eta Sgr| 18| 17|37.6|  -| 36| 45| 42| 3.11|  M3|                 |
6842|          | 18| 18|03.2|  -| 27| 02| 33| 4.65|  K3|                 |
6855|   Xi  Pav| 18| 23|13.6|  -| 61| 29| 38| 4.36|  K4|                 |
6859| 19Del Sgr| 18| 20|59.7|  -| 29| 49| 41| 2.70|  K3|       Kaus_Media|
6866| 74    Oph| 18| 20|52.1|  +| 03| 22| 38| 4.86|  G8|                 |
6868|106    Her| 18| 20|17.9|  +| 21| 57| 41| 4.95|  M1|                 |
6869| 58Eta Ser| 18| 21|18.6|  -| 02| 53| 56| 3.26|  K0|                 |
6872|  1Kap Lyr| 18| 19|51.7|  +| 36| 03| 52| 4.33|  K2|                 |
6879| 20Eps Sgr| 18| 24|10.3|  -| 34| 23| 05| 1.85|  B9|   Kaus_Australis|
6884|   Zet Sct| 18| 23|39.5|  -| 08| 56| 03| 4.68|  G9|                 |
6895|109    Her| 18| 23|41.9|  +| 21| 46| 11| 3.84|  K2|                 |
6896| 21    Sgr| 18| 25|21.0|  -| 20| 32| 30| 4.81|  K2|                 |
6897|   Alp Tel| 18| 26|58.4|  -| 45| 58| 06| 3.51|  B3|                 |
6905|   Zet Tel| 18| 28|49.9|  -| 49| 04| 15| 4.13|  G8|                 |
6913| 22Lam Sgr| 18| 27|58.2|  -| 25| 25| 18| 2.81|  K1|    Kaus_Borealis|
6916|   Nu  Pav| 18| 31|22.4|  -| 62| 16| 42| 4.64|  B7|                 |
6920| 43Phi Dra| 18| 20|45.5|  +| 71| 20| 16| 4.22|  A0|                 |
6923| 39    Dra| 18| 23|54.5|  +| 58| 48| 02| 4.98|  A1|                 |
6927| 44Chi Dra| 18| 21|03.4|  +| 72| 43| 58| 3.57|  F7|                 |
6930|   Gam Sct| 18| 29|11.9|  -| 14| 33| 57| 4.70|  A3|                 |
6934|   Del1Tel| 18| 31|45.4|  -| 45| 54| 54| 4.96|  B6|                 |
6945| 42    Dra| 18| 25|59.1|  +| 65| 33| 49| 4.82|  K1|           Fafnir|
6951|   The CrA| 18| 33|30.2|  -| 42| 18| 45| 4.64|  G8|                 |
6973|   Alp Sct| 18| 35|12.4|  -| 08| 14| 39| 3.85|  K3|                 |
