  HR|  constell|RAh|RAm| RAs|DE-|DEd|DEm|DEs| Vmag|  Sp|       vernacular|
4301| 50Alp UMa| 11| 03|43.7|  +| 61| 45| 03| 1.79|  K0|            Dubhe|
4310| 63Chi Leo| 11| 05|01.0|  +| 07| 20| 10| 4.63|  F2|                 |
4314|   Chi1Hya| 11| 05|19.9|  -| 27| 17| 37| 4.94|  F3|                 |
4325|          | 11| 06|32.4|  -| 62| 25| 27| 4.61|  G8|                 |
4335| 52Psi UMa| 11| 09|39.8|  +| 44| 29| 55| 3.01|  K1|                 |
4337|          | 11| 08|35.4|  -| 58| 58| 30| 3.91|  G4|                 |
4343| 11Bet Crt| 11| 11|39.5|  -| 22| 49| 33| 4.48|  A2|                 |
4352|          | 11| 12|36.0|  -| 60| 19| 03| 4.60|  A6|                 |
4357| 68Del Leo| 11| 14|06.5|  +| 20| 31| 25| 2.56|  A4|            Zosma|
4359| 70The Leo| 11| 14|14.4|  +| 15| 25| 46| 3.34|  A2|          Chertan|
4362| 72    Leo| 11| 15|12.2|  +| 23| 05| 44| 4.63|  M3|                 |
4368| 74Phi Leo| 11| 16|39.7|  -| 03| 39| 06| 4.47|  A7|                 |
4374| 53Xi  UMa| 11| 18|10.9|  +| 31| 31| 45| 4.87|  G0|                 |
4375| 53Xi  UMa| 11| 18|11.0|  +| 31| 31| 45| 4.41|  G0|  Alula_Australis|
4377| 54Nu  UMa| 11| 18|28.7|  +| 33| 05| 39| 3.48|  K3|   Alula_Borealis|
4380| 55    UMa| 11| 19|07.9|  +| 38| 11| 08| 4.78|  A1|                 |
4382| 12Del Crt| 11| 19|20.5|  -| 14| 46| 43| 3.56|  G8|                 |
4386| 77Sig Leo| 11| 21|08.2|  +| 06| 01| 46| 4.05|  B9|                 |
4390|   Pi  Cen| 11| 21|00.4|  -| 54| 29| 28| 3.89|  B5|                 |
4392| 56    UMa| 11| 22|49.6|  +| 43| 28| 58| 4.99|  G7|                 |
4396|          | 11| 23|12.7|  -| 36| 09| 53| 5.00|  K6|                 |
4399| 78Iot Leo| 11| 23|55.5|  +| 10| 31| 45| 3.94|  F4|                 |
4402| 14Eps Crt| 11| 24|36.6|  -| 10| 51| 34| 4.83|  K5|                 |
4405| 15Gam Crt| 11| 24|52.9|  -| 17| 41| 02| 4.08|  A5|                 |
4418| 84Tau Leo| 11| 27|56.2|  +| 02| 51| 22| 4.95|  G7|                 |
4432| 87    Leo| 11| 30|18.9|  -| 03| 00| 13| 4.77|  K3|                 |
4434|  1Lam Dra| 11| 31|24.2|  +| 69| 19| 52| 3.84|  M0|          Giausar|
4450|   Xi  Hya| 11| 33|00.1|  -| 31| 51| 28| 3.54|  G7|                 |
4460|          | 11| 34|45.7|  -| 54| 15| 51| 4.62|  B9|                 |
4467|   Lam Cen| 11| 35|46.8|  -| 63| 01| 11| 3.13|  B9|                 |
4468| 21The Crt| 11| 36|40.9|  -| 09| 48| 08| 4.70|  B9|                 |
